scenario,num_movies,success_rate,mean_eccentricity,n
exact_dates,2,0.39,1.5042,300
exact_dates,3,0.7133,2.5585,300
exact_dates,4,0.8433,3.3791,300
exact_dates,6,0.9433,4.3218,300
exact_dates,8,0.98,4.8774,300
exact_nodates,2,0.1067,0.4033,300
exact_nodates,3,0.3067,1.1605,300
exact_nodates,4,0.5567,1.8476,300
exact_nodates,6,0.8367,2.8507,300
exact_nodates,8,0.93,3.4238,300
noisy_dates,2,0.1267,0.6851,300
noisy_dates,3,0.29,1.2087,300
noisy_dates,4,0.4333,1.6973,300
noisy_dates,6,0.6033,2.4185,300
noisy_dates,8,0.7233,2.8453,300
rare_nodates,2,0.5867,2.2841,300
rare_nodates,3,0.8533,2.4804,300
rare_nodates,4,0.9367,3.251,300
rare_nodates,6,0.98,4.3762,300
rare_nodates,8,0.9967,5.207,300
